CSD,BORO,GRADE LEVEL,PROGRAM TYPE,"CORE SUBJECT 
(MS CORE and 
09-12 ONLY)","CORE COURSE 
(MS CORE and 
09-12 ONLY)","SERVICE CATEGORY
(0K-08 ONLY)",NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE
5,M,09-12,CTT,Social Studies,Global History,-,440,17,25.9
5,M,09-12,CTT,Social Studies,United States History Accelerated,-,232,8,29
5,M,09-12,CTT,Social Studies,Participation in Government,-,74,3,24.7
5,M,09-12,CTT,Social Studies,Economics,-,26,1,26
5,M,09-12,CTT,Social Studies,Other Social Studies,-,122,4,30.5
5,M,09-12,SPEC ED,English,English 9,-,24,2,12
5,M,09-12,SPEC ED,English,English 10,-,12,1,12
5,M,09-12,SPEC ED,English,English 11,-,8,1,8
5,M,09-12,SPEC ED,English,English 12,-,10,1,10
5,M,09-12,SPEC ED,Math,Integrated Algebra,-,24,2,12
5,M,09-12,SPEC ED,Science,Living Environment,-,11,1,11
5,M,09-12,SPEC ED,Science,Other Science,-,18,2,9
5,M,09-12,SPEC ED,Social Studies,Global History,-,12,1,12
5,M,09-12,SPEC ED,Social Studies,United States History Accelerated,-,9,1,9
5,M,09-12,SPEC ED,Social Studies,Participation in Government,-,10,1,10
5,M,0K-09,SPEC ED,-,-,12:1,58,8,7.3
5,M,0K-09,SPEC ED,-,-,12:1:1,605,57,10.6
5,M,0K-09,SPEC ED,-,-,6:1:1,4,1,4
5,M,0K-09,SPEC ED,-,-,8:1:1,13,2,6.5
5,M,MS Core,GEN ED,English,MS English Core,-,1442,60,24
5,M,MS Core,GEN ED,Math,MS Math Core,-,1346,57,23.6
5,M,MS Core,GEN ED,Science,MS Science Core,-,1491,63,23.7
5,M,MS Core,GEN ED,Social Studies,MS Social Studies Core,-,1586,68,23.3
5,M,MS Core,CTT,English,MS English Core,-,743,31,24
5,M,MS Core,CTT,Math,MS Math Core,-,701,29,24.2
5,M,MS Core,CTT,Science,MS Science Core,-,531,22,24.1
5,M,MS Core,CTT,Social Studies,MS Social Studies Core,-,570,24,23.8
5,M,MS Core,SPEC ED,English,MS English Core,-,154,18,8.6
5,M,MS Core,SPEC ED,Math,MS Math Core,-,168,20,8.4
5,M,MS Core,SPEC ED,Science,MS Science Core,-,163,19,8.6
5,M,MS Core,SPEC ED,Social Studies,MS Social Studies Core,-,168,20,8.4
5,M,MS Core,G&T,Math,Integrated Algebra,-,125,4,31.3
5,M,MS Core,G&T,Science,Living Environment,-,23,1,23
5,M,MS Core,G&T,Science,Other Science,-,152,5,30.4
5,M,MS Core,G&T,Social Studies,United States History Accelerated,-,128,4,32
6,M,0K,GEN ED,-,-,-,1597,71,22.5
6,M,0K,CTT,-,-,-,229,10,22.9
6,M,0K,G&T,-,-,-,22,1,22
6,M,01,GEN ED,-,-,-,1536,62,24.8
6,M,01,CTT,-,-,-,341,14,24.4
6,M,02,GEN ED,-,-,-,1654,68,24.3
6,M,02,CTT,-,-,-,290,12,24.2
6,M,02,G&T,-,-,-,21,1,21
6,M,03,GEN ED,-,-,-,1598,66,24.2
6,M,03,CTT,-,-,-,253,11,23
6,M,03,G&T,-,-,-,21,1,21
6,M,04,GEN ED,-,-,-,1539,61,25.2
6,M,04,CTT,-,-,-,334,14,23.9
6,M,04,G&T,-,-,-,23,1,23
6,M,05,GEN ED,-,-,-,1189,51,23.3
6,M,05,CTT,-,-,-,383,16,23.9
6,M,05,G&T,-,-,-,26,1,26
6,M,06,GEN ED,-,-,-,1110,46,24.1
6,M,06,CTT,-,-,-,489,19,25.7
6,M,07,GEN ED,-,-,-,1206,48,25.1
6,M,07,CTT,-,-,-,360,14,25.7
6,M,08,GEN ED,-,-,-,1472,57,25.8
6,M,08,CTT,-,-,-,333,13,25.6
6,M,09-12,GEN ED,English,MS English Core,-,412,17,24.2
6,M,09-12,GEN ED,English,English 9,-,804,32,25.1
6,M,09-12,GEN ED,English,English 10,-,663,25,26.5
6,M,09-12,GEN ED,English,English 11,-,746,27,27.6
6,M,09-12,GEN ED,English,English 12,-,537,21,25.6
6,M,09-12,GEN ED,English,Other English,-,2315,99,23.4
6,M,09-12,GEN ED,Math,Integrated Algebra,-,1424,55,25.9
6,M,09-12,GEN ED,Math,Geometry,-,1094,40,27.4
6,M,09-12,GEN ED,Math,Algebra 2/Trig,-,761,29,26.2
6,M,09-12,GEN ED,Math,Other Math,-,407,19,21.4
6,M,09-12,GEN ED,Science,Living Environment,-,1194,44,27.1
6,M,09-12,GEN ED,Science,Chemistry,-,786,29,27.1
6,M,09-12,GEN ED,Science,Physics,-,379,16,23.7
6,M,09-12,GEN ED,Science,Other Physical Sciences,-,39,2,19.5
6,M,09-12,GEN ED,Science,Other Science,-,1745,63,27.7
6,M,09-12,GEN ED,Social Studies,Global History,-,2251,84,26.8
6,M,09-12,GEN ED,Social Studies,United States History Accelerated,-,1335,50,26.7
6,M,09-12,GEN ED,Social Studies,Participation in Government,-,752,27,27.9
6,M,09-12,GEN ED,Social Studies,Economics,-,114,7,16.3
6,M,09-12,GEN ED,Social Studies,Other Social Studies,-,446,19,23.5
6,M,09-12,CTT,English,MS English Core,-,187,10,18.7
6,M,09-12,CTT,English,English 9,-,370,14,26.4
6,M,09-12,CTT,English,English 10,-,422,14,30.1
6,M,09-12,CTT,English,English 11,-,300,10,30
6,M,09-12,CTT,English,English 12,-,194,7,27.7
6,M,09-12,CTT,English,Other English,-,597,21,28.4
6,M,09-12,CTT,Math,Integrated Algebra,-,800,27,29.6
6,M,09-12,CTT,Math,Geometry,-,420,15,28
6,M,09-12,CTT,Math,Algebra 2/Trig,-,81,3,27
6,M,09-12,CTT,Math,Other Math,-,78,4,19.5
6,M,09-12,CTT,Science,Living Environment,-,722,24,30.1
6,M,09-12,CTT,Science,Chemistry,-,95,4,23.8
6,M,09-12,CTT,Science,Physics,-,27,1,27
6,M,09-12,CTT,Science,Other Science,-,477,18,26.5
6,M,09-12,CTT,Social Studies,Global History,-,926,31,29.9
6,M,09-12,CTT,Social Studies,United States History Accelerated,-,375,13,28.8
6,M,09-12,CTT,Social Studies,Participation in Government,-,122,5,24.4
6,M,09-12,CTT,Social Studies,Economics,-,23,1,23
6,M,09-12,CTT,Social Studies,Other Social Studies,-,146,5,29.2
6,M,09-12,SPEC ED,English,English 9,-,28,4,7
6,M,09-12,SPEC ED,English,English 10,-,24,3,8
6,M,09-12,SPEC ED,English,English 11,-,15,2,7.5
6,M,09-12,SPEC ED,English,English 12,-,17,2,8.5
6,M,09-12,SPEC ED,Math,Integrated Algebra,-,59,6,9.8
6,M,09-12,SPEC ED,Math,Geometry,-,10,1,10
6,M,09-12,SPEC ED,Math,Other Math,-,19,2,9.5
6,M,09-12,SPEC ED,Science,Living Environment,-,47,4,11.8
6,M,09-12,SPEC ED,Science,Other Science,-,43,3,14.3
6,M,09-12,SPEC ED,Social Studies,Global History,-,41,5,8.2
6,M,09-12,SPEC ED,Social Studies,United States History Accelerated,-,28,3,9.3
6,M,09-12,SPEC ED,Social Studies,Participation in Government,-,21,2,10.5
6,M,0K-09,SPEC ED,-,-,12:1,333,33,10.1
6,M,0K-09,SPEC ED,-,-,12:1:1,475,44,10.8
6,M,MS Core,GEN ED,English,MS English Core,-,3884,155,25.1
6,M,MS Core,GEN ED,English,Other English,-,508,23,22.1
6,M,MS Core,GEN ED,Math,MS Math Core,-,3834,155,24.7
6,M,MS Core,GEN ED,Science,MS Science Core,-,3997,161,24.8
6,M,MS Core,GEN ED,Social Studies,MS Social Studies Core,-,4165,167,24.9
6,M,MS Core,CTT,English,MS English Core,-,1175,45,26.1
6,M,MS Core,CTT,English,Other English,-,72,3,24
6,M,MS Core,CTT,Math,MS Math Core,-,1082,42,25.8
6,M,MS Core,CTT,Science,MS Science Core,-,999,38,26.3
6,M,MS Core,CTT,Social Studies,MS Social Studies Core,-,828,31,26.7
6,M,MS Core,SPEC ED,English,MS English Core,-,203,27,7.5
6,M,MS Core,SPEC ED,English,Other English,-,45,7,6.4
6,M,MS Core,SPEC ED,Math,MS Math Core,-,190,26,7.3
6,M,MS Core,SPEC ED,Science,MS Science Core,-,185,25,7.4
6,M,MS Core,SPEC ED,Social Studies,MS Social Studies Core,-,185,25,7.4
6,M,MS Core,G&T,Math,Integrated Algebra,-,144,5,28.8
6,M,MS Core,G&T,Science,Living Environment,-,179,7,25.6
6,M,MS Core,G&T,Social Studies,United States History Accelerated,-,52,2,26
6,M,MS Core,G&T&ICT,Math,Integrated Algebra,-,54,2,27
6,M,MS Core,G&T&ICT,Social Studies,United States History Accelerated,-,24,1,24
7,X,0K,GEN ED,-,-,-,981,42,23.4
7,X,0K,CTT,-,-,-,307,13,23.6
7,X,01,GEN ED,-,-,-,984,43,22.9
7,X,01,CTT,-,-,-,252,11,22.9
7,X,02,GEN ED,-,-,-,855,41,20.9
7,X,02,CTT,-,-,-,337,16,21.1
7,X,03,GEN ED,-,-,-,833,39,21.4
7,X,03,CTT,-,-,-,266,13,20.5
7,X,04,GEN ED,-,-,-,901,37,24.4
7,X,04,CTT,-,-,-,286,13,22
7,X,05,GEN ED,-,-,-,784,33,23.8
7,X,05,CTT,-,-,-,342,14,24.4
7,X,06,GEN ED,-,-,-,696,26,26.8
7,X,06,CTT,-,-,-,406,17,23.9
7,X,07,GEN ED,-,-,-,765,29,26.4
7,X,07,CTT,-,-,-,404,15,26.9
7,X,08,GEN ED,-,-,-,722,28,25.8
7,X,08,CTT,-,-,-,466,19,24.5
7,X,09-12,GEN ED,English,MS English Core,-,1159,52,22.3
7,X,09-12,GEN ED,English,English 9,-,958,41,23.4
7,X,09-12,GEN ED,English,English 10,-,747,31,24.1
7,X,09-12,GEN ED,English,English 11,-,797,35,22.8
7,X,09-12,GEN ED,English,English 12,-,535,28,19.1
7,X,09-12,GEN ED,English,Other English,-,694,37,18.8
7,X,09-12,GEN ED,Math,Integrated Algebra,-,1450,63,23
7,X,09-12,GEN ED,Math,Geometry,-,1049,46,22.8
7,X,09-12,GEN ED,Math,Algebra 2/Trig,-,1004,45,22.3
7,X,09-12,GEN ED,Math,Other Math,-,631,33,19.1
7,X,09-12,GEN ED,Science,Living Environment,-,1435,58,24.7
7,X,09-12,GEN ED,Science,Chemistry,-,682,30,22.7
7,X,09-12,GEN ED,Science,Physics,-,123,7,17.6
7,X,09-12,GEN ED,Science,Other Physical Sciences,-,472,19,24.8
7,X,09-12,GEN ED,Science,Other Science,-,1592,64,24.9
7,X,09-12,GEN ED,Social Studies,Global History,-,2522,102,24.7
7,X,09-12,GEN ED,Social Studies,United States History Accelerated,-,1029,42,24.5
7,X,09-12,GEN ED,Social Studies,Participation in Government,-,444,22,20.2
7,X,09-12,GEN ED,Social Studies,Economics,-,374,16,23.4
7,X,09-12,GEN ED,Social Studies,Other Social Studies,-,578,30,19.3
7,X,09-12,CTT,English,MS English Core,-,566,22,25.7
7,X,09-12,CTT,English,English 9,-,418,16,26.1
7,X,09-12,CTT,English,English 10,-,405,15,27
7,X,09-12,CTT,English,English 11,-,199,8,24.9
7,X,09-12,CTT,English,English 12,-,151,6,25.2
7,X,09-12,CTT,English,Other English,-,668,33,20.2
7,X,09-12,CTT,Math,Integrated Algebra,-,979,36,27.2
7,X,09-12,CTT,Math,Geometry,-,271,10,27.1
7,X,09-12,CTT,Math,Algebra 2/Trig,-,176,7,25.1
7,X,09-12,CTT,Math,Other Math,-,280,11,25.5
7,X,09-12,CTT,Science,Living Environment,-,658,27,24.4
7,X,09-12,CTT,Science,Chemistry,-,110,5,22
7,X,09-12,CTT,Science,Other Physical Sciences,-,298,13,22.9
7,X,09-12,CTT,Science,Other Science,-,554,21,26.4
7,X,09-12,CTT,Social Studies,Global History,-,1255,48,26.1
7,X,09-12,CTT,Social Studies,United States History Accelerated,-,400,15,26.7
7,X,09-12,CTT,Social Studies,Participation in Government,-,103,4,25.8
7,X,09-12,CTT,Social Studies,Economics,-,114,5,22.8
7,X,09-12,CTT,Social Studies,Other Social Studies,-,284,11,25.8
7,X,09-12,SPEC ED,English,MS English Core,-,45,3,15
7,X,09-12,SPEC ED,English,English 9,-,35,3,11.7
7,X,09-12,SPEC ED,English,English 10,-,32,4,8
7,X,09-12,SPEC ED,English,English 11,-,17,2,8.5
7,X,09-12,SPEC ED,English,English 12,-,7,1,7
7,X,09-12,SPEC ED,Math,Integrated Algebra,-,117,11,10.6
7,X,09-12,SPEC ED,Math,Geometry,-,11,2,5.5
7,X,09-12,SPEC ED,Science,Living Environment,-,82,7,11.7
7,X,09-12,SPEC ED,Science,Other Science,-,27,2,13.5
7,X,09-12,SPEC ED,Social Studies,Global History,-,94,8,11.8
7,X,09-12,SPEC ED,Social Studies,United States History Accelerated,-,16,2,8
7,X,09-12,SPEC ED,Social Studies,Participation in Government,-,16,2,8
7,X,0K-09,SPEC ED,-,-,12:1,647,59,11
7,X,0K-09,SPEC ED,-,-,12:1:1,378,36,10.5
7,X,0K-09,SPEC ED,-,-,6:1:1,17,3,5.7
7,X,0K-09,SPEC ED,-,-,8:1:1,15,2,7.5
7,X,MS Core,GEN ED,English,MS English Core,-,2127,85,25
7,X,MS Core,GEN ED,English,Other English,-,255,15,17
7,X,MS Core,GEN ED,Math,MS Math Core,-,2537,103,24.6
7,X,MS Core,GEN ED,Science,MS Science Core,-,2648,105,25.2
7,X,MS Core,GEN ED,Social Studies,MS Social Studies Core,-,2533,104,24.4
7,X,MS Core,CTT,English,MS English Core,-,824,34,24.2
7,X,MS Core,CTT,Math,MS Math Core,-,970,39,24.9
7,X,MS Core,CTT,Science,MS Science Core,-,866,37,23.4
7,X,MS Core,CTT,Social Studies,MS Social Studies Core,-,693,29,23.9
7,X,MS Core,SPEC ED,English,MS English Core,-,341,35,9.7
7,X,MS Core,SPEC ED,Math,MS Math Core,-,393,40,9.8
7,X,MS Core,SPEC ED,Science,MS Science Core,-,291,30,9.7
7,X,MS Core,SPEC ED,Social Studies,MS Social Studies Core,-,276,29,9.5
7,X,MS Core,G&T,Math,Integrated Algebra,-,125,5,25
7,X,MS Core,G&T,Science,Living Environment,-,98,4,24.5
7,X,MS Core,G&T,Social Studies,United States History Accelerated,-,23,1,23
8,X,0K,GEN ED,-,-,-,1823,75,24.3
8,X,0K,CTT,-,-,-,444,19,23.4
8,X,0K,G&T,-,-,-,9,1,9
8,X,01,GEN ED,-,-,-,1772,73,24.3
8,X,01,CTT,-,-,-,419,17,24.6
8,X,01,G&T,-,-,-,23,1,23
8,X,02,GEN ED,-,-,-,1686,68,24.8
8,X,02,CTT,-,-,-,455,19,23.9
8,X,02,G&T,-,-,-,30,1,30
8,X,03,GEN ED,-,-,-,1582,64,24.7
8,X,03,CTT,-,-,-,429,16,26.8
8,X,03,G&T,-,-,-,53,2,26.5
8,X,04,GEN ED,-,-,-,1570,61,25.7
8,X,04,CTT,-,-,-,516,20,25.8
8,X,04,G&T,-,-,-,25,1,25
8,X,05,GEN ED,-,-,-,1409,56,25.2
8,X,05,CTT,-,-,-,423,16,26.4
8,X,05,G&T,-,-,-,22,1,22
8,X,06,GEN ED,-,-,-,1183,43,27.5
8,X,06,CTT,-,-,-,703,26,27
8,X,07,GEN ED,-,-,-,1365,50,27.3
8,X,07,CTT,-,-,-,570,22,25.9
8,X,08,GEN ED,-,-,-,1332,47,28.3
8,X,08,CTT,-,-,-,639,25,25.6
8,X,09-12,GEN ED,English,MS English Core,-,290,13,22.3
8,X,09-12,GEN ED,English,English 9,-,877,40,21.9
8,X,09-12,GEN ED,English,English 10,-,862,36,23.9
8,X,09-12,GEN ED,English,English 11,-,950,39,24.4
8,X,09-12,GEN ED,English,English 12,-,959,42,22.8
8,X,09-12,GEN ED,English,Other English,-,1511,78,19.4
8,X,09-12,GEN ED,Math,Integrated Algebra,-,1213,57,21.3
8,X,09-12,GEN ED,Math,Geometry,-,1165,48,24.3
8,X,09-12,GEN ED,Math,Algebra 2/Trig,-,1105,45,24.6
8,X,09-12,GEN ED,Math,Other Math,-,1009,44,22.9
8,X,09-12,GEN ED,Science,Living Environment,-,1099,46,23.9
8,X,09-12,GEN ED,Science,Chemistry,-,661,27,24.5
8,X,09-12,GEN ED,Science,Physics,-,407,16,25.4
8,X,09-12,GEN ED,Science,Other Physical Sciences,-,210,9,23.3
8,X,09-12,GEN ED,Science,Other Science,-,1470,62,23.7
8,X,09-12,GEN ED,Social Studies,Global History,-,2092,85,24.6
8,X,09-12,GEN ED,Social Studies,United States History Accelerated,-,1139,45,25.3
8,X,09-12,GEN ED,Social Studies,Participation in Government,-,758,30,25.3
8,X,09-12,GEN ED,Social Studies,Economics,-,173,7,24.7
8,X,09-12,GEN ED,Social Studies,Other Social Studies,-,615,30,20.5
8,X,09-12,CTT,English,MS English Core,-,89,4,22.3
8,X,09-12,CTT,English,English 9,-,898,33,27.2
8,X,09-12,CTT,English,English 10,-,823,33,24.9
8,X,09-12,CTT,English,English 11,-,659,26,25.3
8,X,09-12,CTT,English,English 12,-,495,19,26.1
8,X,09-12,CTT,English,Other English,-,1288,57,22.6
8,X,09-12,CTT,Math,Integrated Algebra,-,1629,65,25.1
8,X,09-12,CTT,Math,Geometry,-,625,24,26
8,X,09-12,CTT,Math,Algebra 2/Trig,-,258,10,25.8
8,X,09-12,CTT,Math,Other Math,-,691,28,24.7
8,X,09-12,CTT,Science,Living Environment,-,1139,44,25.9
8,X,09-12,CTT,Science,Chemistry,-,116,5,23.2
8,X,09-12,CTT,Science,Physics,-,15,1,15
8,X,09-12,CTT,Science,Other Physical Sciences,-,296,12,24.7
8,X,09-12,CTT,Science,Other Science,-,1186,44,27
8,X,09-12,CTT,Social Studies,Global History,-,1983,77,25.8
8,X,09-12,CTT,Social Studies,United States History Accelerated,-,638,27,23.6
8,X,09-12,CTT,Social Studies,Participation in Government,-,549,21,26.1
8,X,09-12,CTT,Social Studies,Economics,-,83,3,27.7
8,X,09-12,CTT,Social Studies,Other Social Studies,-,377,14,26.9
8,X,09-12,SPEC ED,English,English 9,-,49,4,12.3
8,X,09-12,SPEC ED,English,English 10,-,53,5,10.6
8,X,09-12,SPEC ED,English,English 11,-,70,6,11.7
8,X,09-12,SPEC ED,English,English 12,-,54,5,10.8
8,X,09-12,SPEC ED,English,Other English,-,33,3,11
8,X,09-12,SPEC ED,Math,Integrated Algebra,-,108,9,12
8,X,09-12,SPEC ED,Math,Geometry,-,103,9,11.4
8,X,09-12,SPEC ED,Math,Algebra 2/Trig,-,7,1,7
8,X,09-12,SPEC ED,Math,Other Math,-,45,4,11.3
8,X,09-12,SPEC ED,Science,Living Environment,-,86,7,12.3
8,X,09-12,SPEC ED,Science,Other Physical Sciences,-,45,4,11.3
8,X,09-12,SPEC ED,Science,Other Science,-,105,10,10.5
8,X,09-12,SPEC ED,Social Studies,Global History,-,124,10,12.4
8,X,09-12,SPEC ED,Social Studies,United States History Accelerated,-,61,5,12.2
8,X,09-12,SPEC ED,Social Studies,Participation in Government,-,55,5,11
8,X,09-12,SPEC ED,Social Studies,Other Social Studies,-,18,2,9
8,X,0K-09,SPEC ED,-,-,12:1,526,52,10.1
8,X,0K-09,SPEC ED,-,-,12:1:1,895,84,10.7
8,X,MS Core,GEN ED,English,MS English Core,-,3766,139,27.1
8,X,MS Core,GEN ED,English,Other English,-,77,5,15.4
8,X,MS Core,GEN ED,Math,MS Math Core,-,3624,135,26.8
8,X,MS Core,GEN ED,Science,MS Science Core,-,3930,146,26.9
8,X,MS Core,GEN ED,Social Studies,MS Social Studies Core,-,4301,160,26.9
8,X,MS Core,CTT,English,MS English Core,-,1591,60,26.5
8,X,MS Core,CTT,English,Other English,-,31,2,15.5
8,X,MS Core,CTT,Math,MS Math Core,-,1514,57,26.6
8,X,MS Core,CTT,Science,MS Science Core,-,1242,48,25.9
8,X,MS Core,CTT,Social Studies,MS Social Studies Core,-,1019,40,25.5
8,X,MS Core,SPEC ED,English,MS English Core,-,336,39,8.6
8,X,MS Core,SPEC ED,English,Other English,-,6,1,6
8,X,MS Core,SPEC ED,Math,MS Math Core,-,394,46,8.6
8,X,MS Core,SPEC ED,Science,MS Science Core,-,402,47,8.6
8,X,MS Core,SPEC ED,Social Studies,MS Social Studies Core,-,299,35,8.5
8,X,MS Core,G&T,English,MS English Core,-,86,3,28.7
8,X,MS Core,G&T,Math,Integrated Algebra,-,234,9,26
8,X,MS Core,G&T,Science,Living Environment,-,151,5,30.2
8,X,MS Core,G&T,Science,Other Science,-,145,5,29
8,X,MS Core,G&T,Social Studies,United States History Accelerated,-,22,1,22
9,X,0K,GEN ED,-,-,-,2463,106,23.2
9,X,0K,CTT,-,-,-,439,19,23.1
9,X,01,GEN ED,-,-,-,2460,104,23.7
9,X,01,CTT,-,-,-,421,17,24.8
9,X,01,G&T,-,-,-,24,1,24
9,X,02,GEN ED,-,-,-,2328,96,24.3
9,X,02,CTT,-,-,-,490,19,25.8
9,X,02,G&T,-,-,-,28,1,28
9,X,03,GEN ED,-,-,-,2095,86,24.4
9,X,03,CTT,-,-,-,598,22,27.2
9,X,04,GEN ED,-,-,-,2094,86,24.3
9,X,04,CTT,-,-,-,514,21,24.5
9,X,05,GEN ED,-,-,-,1872,81,23.1
9,X,05,CTT,-,-,-,551,23,24
9,X,06,GEN ED,-,-,-,1719,69,24.9
9,X,06,CTT,-,-,-,695,29,24
9,X,07,GEN ED,-,-,-,1812,71,25.5
9,X,07,CTT,-,-,-,698,28,24.9
9,X,08,GEN ED,-,-,-,1971,79,24.9
9,X,08,CTT,-,-,-,549,22,25
9,X,09-12,GEN ED,English,MS English Core,-,308,14,22
9,X,09-12,GEN ED,English,English 9,-,1670,69,24.2
9,X,09-12,GEN ED,English,English 10,-,1248,47,26.6
9,X,09-12,GEN ED,English,English 11,-,1433,57,25.1
9,X,09-12,GEN ED,English,English 12,-,1149,51,22.5
9,X,09-12,GEN ED,English,Other English,-,1966,96,20.5
9,X,09-12,GEN ED,Math,Integrated Algebra,-,2276,95,24
9,X,09-12,GEN ED,Math,Geometry,-,1353,56,24.2
9,X,09-12,GEN ED,Math,Algebra 2/Trig,-,1635,67,24.4
9,X,09-12,GEN ED,Math,Other Math,-,957,43,22.3
9,X,09-12,GEN ED,Science,Living Environment,-,1936,81,23.9
9,X,09-12,GEN ED,Science,Chemistry,-,1307,57,22.9
9,X,09-12,GEN ED,Science,Physics,-,458,20,22.9
9,X,09-12,GEN ED,Science,Other Physical Sciences,-,70,3,23.3
9,X,09-12,GEN ED,Science,Other Science,-,2183,85,25.7
9,X,09-12,GEN ED,Social Studies,Global History,-,3674,144,25.5
9,X,09-12,GEN ED,Social Studies,United States History Accelerated,-,1640,65,25.2
9,X,09-12,GEN ED,Social Studies,Participation in Government,-,719,28,25.7
9,X,09-12,GEN ED,Social Studies,Economics,-,397,16,24.8
9,X,09-12,GEN ED,Social Studies,Other Social Studies,-,1176,47,25
9,X,09-12,CTT,English,MS English Core,-,74,3,24.7
9,X,09-12,CTT,English,English 9,-,500,19,26.3
9,X,09-12,CTT,English,English 10,-,500,19,26.3
9,X,09-12,CTT,English,English 11,-,412,16,25.8
9,X,09-12,CTT,English,English 12,-,478,19,25.2
9,X,09-12,CTT,English,Other English,-,678,27,25.1
9,X,09-12,CTT,Math,Integrated Algebra,-,883,34,26
9,X,09-12,CTT,Math,Geometry,-,450,16,28.1
9,X,09-12,CTT,Math,Algebra 2/Trig,-,184,7,26.3
9,X,09-12,CTT,Math,Other Math,-,375,14,26.8
9,X,09-12,CTT,Science,Living Environment,-,676,25,27
9,X,09-12,CTT,Science,Chemistry,-,187,6,31.2
9,X,09-12,CTT,Science,Physics,-,63,2,31.5
9,X,09-12,CTT,Science,Other Physical Sciences,-,50,2,25
9,X,09-12,CTT,Science,Other Science,-,870,32,27.2
9,X,09-12,CTT,Social Studies,Global History,-,1235,43,28.7
9,X,09-12,CTT,Social Studies,United States History Accelerated,-,395,14,28.2
9,X,09-12,CTT,Social Studies,Participation in Government,-,270,10,27
9,X,09-12,CTT,Social Studies,Economics,-,25,1,25
9,X,09-12,CTT,Social Studies,Other Social Studies,-,379,13,29.2
9,X,09-12,SPEC ED,English,MS English Core,-,10,1,10
9,X,09-12,SPEC ED,English,English 9,-,118,11,10.7
9,X,09-12,SPEC ED,English,English 10,-,111,10,11.1
9,X,09-12,SPEC ED,English,English 11,-,47,4,11.8
9,X,09-12,SPEC ED,English,English 12,-,30,3,10
9,X,09-12,SPEC ED,English,Other English,-,33,3,11
9,X,09-12,SPEC ED,Math,Integrated Algebra,-,200,18,11.1
9,X,09-12,SPEC ED,Math,Geometry,-,20,2,10
9,X,09-12,SPEC ED,Math,Algebra 2/Trig,-,16,1,16
9,X,09-12,SPEC ED,Math,Other Math,-,26,2,13
9,X,09-12,SPEC ED,Science,Living Environment,-,86,8,10.8
9,X,09-12,SPEC ED,Science,Other Science,-,99,9,11
9,X,09-12,SPEC ED,Social Studies,Global History,-,234,22,10.6
9,X,09-12,SPEC ED,Social Studies,United States History Accelerated,-,71,6,11.8
9,X,09-12,SPEC ED,Social Studies,Participation in Government,-,38,4,9.5
9,X,0K-09,SPEC ED,-,-,12:1,647,61,10.6
9,X,0K-09,SPEC ED,-,-,12:1:1,1374,132,10.4
9,X,0K-09,SPEC ED,-,-,8:1:1,8,1,8
9,X,MS Core,GEN ED,English,MS English Core,-,6041,242,25
9,X,MS Core,GEN ED,English,Other English,-,489,26,18.8
9,X,MS Core,GEN ED,Math,MS Math Core,-,5790,238,24.3
9,X,MS Core,GEN ED,Science,MS Science Core,-,5871,238,24.7
9,X,MS Core,GEN ED,Social Studies,MS Social Studies Core,-,5998,244,24.6
9,X,MS Core,CTT,English,MS English Core,-,1375,56,24.6
9,X,MS Core,CTT,English,Other English,-,51,3,17
9,X,MS Core,CTT,Math,MS Math Core,-,1473,61,24.1
9,X,MS Core,CTT,Science,MS Science Core,-,1339,56,23.9
9,X,MS Core,CTT,Social Studies,MS Social Studies Core,-,1358,56,24.3
9,X,MS Core,SPEC ED,English,MS English Core,-,702,76,9.2
9,X,MS Core,SPEC ED,English,Other English,-,34,4,8.5
9,X,MS Core,SPEC ED,Math,MS Math Core,-,665,73,9.1
9,X,MS Core,SPEC ED,Science,MS Science Core,-,608,66,9.2
9,X,MS Core,SPEC ED,Social Studies,MS Social Studies Core,-,634,68,9.3
9,X,MS Core,G&T,Math,Integrated Algebra,-,441,17,25.9
9,X,MS Core,G&T,Science,Living Environment,-,362,15,24.1
9,X,MS Core,G&T,Science,Other Science,-,83,3,27.7
9,X,MS Core,G&T,Social Studies,United States History Accelerated,-,61,2,30.5
9,X,MS Core,G&T&ICT,Math,Integrated Algebra,-,30,1,30
9,X,MS Core,G&T&ICT,Science,Living Environment,-,23,1,23
9,X,MS Core,G&T&ICT,Science,Other Science,-,30,1,30
9,X,MS Core,G&T&ICT,Social Studies,United States History Accelerated,-,30,1,30
10,X,0K,GEN ED,-,-,-,3596,150,24
10,X,0K,CTT,-,-,-,731,32,22.8
10,X,0K,G&T,-,-,-,47,2,23.5
10,X,01,GEN ED,-,-,-,3546,137,25.9
10,X,01,CTT,-,-,-,817,31,26.4
10,X,01,G&T,-,-,-,58,2,29
10,X,02,GEN ED,-,-,-,3207,125,25.7
10,X,02,CTT,-,-,-,900,35,25.7
10,X,02,G&T,-,-,-,59,2,29.5
10,X,03,GEN ED,-,-,-,3145,119,26.4
10,X,03,CTT,-,-,-,918,35,26.2
10,X,03,G&T,-,-,-,60,2,30
10,X,04,GEN ED,-,-,-,2830,107,26.4
10,X,04,CTT,-,-,-,997,38,26.2
10,X,04,G&T,-,-,-,55,2,27.5
10,X,05,GEN ED,-,-,-,2614,96,27.2
10,X,05,CTT,-,-,-,1009,36,28
10,X,05,G&T,-,-,-,56,2,28
