GRADE LEVEL,PROGRAM TYPE,"CORE SUBJECT 
(MS CORE and 
09-12 ONLY)","SERVICE CATEGORY
(0K-08 ONLY)",CLASS SIZE,NUMBER OF CLASSES,NUMBER OF STUDENTS,PERCENT OF STUDENTS IN BOROUGH / PROGRAM / GRADE / SUBJECT
09-12,GEN ED / CTT,Social Studies,-,>34,252,9356,0.03
09-12,SPEC ED,English,-,<6,44,220,0.03
09-12,SPEC ED,English,-,6,62,372,0.05
09-12,SPEC ED,English,-,7,70,490,0.06
09-12,SPEC ED,English,-,8,68,544,0.07
09-12,SPEC ED,English,-,9,61,549,0.07
09-12,SPEC ED,English,-,10,68,680,0.09
09-12,SPEC ED,English,-,11,58,638,0.08
09-12,SPEC ED,English,-,12,60,720,0.09
09-12,SPEC ED,English,-,13,69,897,0.12
09-12,SPEC ED,English,-,14,71,994,0.13
09-12,SPEC ED,English,-,15,70,1050,0.14
09-12,SPEC ED,English,-,>15,27,456,0.06
09-12,SPEC ED,Math,-,<6,18,90,0.01
09-12,SPEC ED,Math,-,6,21,126,0.02
09-12,SPEC ED,Math,-,7,37,259,0.04
09-12,SPEC ED,Math,-,8,32,256,0.04
09-12,SPEC ED,Math,-,9,41,369,0.05
09-12,SPEC ED,Math,-,10,54,540,0.08
09-12,SPEC ED,Math,-,11,43,473,0.07
09-12,SPEC ED,Math,-,12,77,924,0.14
09-12,SPEC ED,Math,-,13,62,806,0.12
09-12,SPEC ED,Math,-,14,76,1064,0.16
09-12,SPEC ED,Math,-,15,92,1380,0.2
09-12,SPEC ED,Math,-,>15,30,505,0.07
09-12,SPEC ED,Science,-,<6,28,140,0.02
09-12,SPEC ED,Science,-,6,25,150,0.03
09-12,SPEC ED,Science,-,7,22,154,0.03
09-12,SPEC ED,Science,-,8,25,200,0.04
09-12,SPEC ED,Science,-,9,38,342,0.06
09-12,SPEC ED,Science,-,10,37,370,0.07
09-12,SPEC ED,Science,-,11,39,429,0.08
09-12,SPEC ED,Science,-,12,54,648,0.11
09-12,SPEC ED,Science,-,13,48,624,0.11
09-12,SPEC ED,Science,-,14,60,840,0.15
09-12,SPEC ED,Science,-,15,74,1110,0.2
09-12,SPEC ED,Science,-,>15,38,646,0.11
09-12,SPEC ED,Social Studies,-,<6,38,190,0.03
09-12,SPEC ED,Social Studies,-,6,38,228,0.03
09-12,SPEC ED,Social Studies,-,7,33,231,0.03
09-12,SPEC ED,Social Studies,-,8,52,416,0.06
09-12,SPEC ED,Social Studies,-,9,60,540,0.08
09-12,SPEC ED,Social Studies,-,10,50,500,0.07
09-12,SPEC ED,Social Studies,-,11,56,616,0.09
09-12,SPEC ED,Social Studies,-,12,69,828,0.12
09-12,SPEC ED,Social Studies,-,13,69,897,0.13
09-12,SPEC ED,Social Studies,-,14,65,910,0.13
09-12,SPEC ED,Social Studies,-,15,72,1080,0.15
09-12,SPEC ED,Social Studies,-,>15,33,543,0.08
